SampleID,Site,BAI_GR,BIO_GR,Species,julian.date.2011,Tree.Age,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Tree.Height,Branch.Height,Root.Wood.Density,Twig.branching.angle,Slope,Leaf.Area,LCC,LPC,t.b2,Ktwig,Huber.Value,X.Lum,VD,Estem,Branching.Distance,Stem.Wood.Density,LMA,LNC,d15N,Ks,X.Sapwood,d13C,Soil.Fertility,Light,Temperature,pH
J11SOA10,Gault Parking,1.269459158,0.37599384528980084,SOA,190,19,10,2.59,1.77,1.27,548,3.3,NA,50.0795,-0.24497260275468194,19.17266667,45.9814,15.18300142,0.0329153,324.2869931,0.003830998,0.099259677,3453.805612,2277.58761596692,-9.961039870252755,0.04942210027987149,-1.2709748408430812,-0.28205743591382876,-0.28949816585909693,-85.181494553951,0.11078314414708836,-0.8214129888431919,-0.07021621406384969,-1.2756629947498312,1.4504304832060106,0.3707949911121472
J12ACP11,South East Hill,0.5339362639999999,0.1401214174766519,ACP,214,29,10,3.56,2,1,297,2.2,0.590608067,48.8808,0.7448459574846824,70.37235294,46.1249,18.89869388,0.018171156,575.43813,0.009143648,0.073630171,8276.479554,-2029.4774201225912,-14.609635362799432,-0.041033723632919364,-41.85780781648968,-0.38207083153583066,0.535679576142885,-39.05036454109324,-0.005447729187899099,-0.14660665580066787,-0.8958467890408468,0.33860657233494157,1.1610967061366082,-0.09720510512299231
J12ACP12,South East Hill,0.24308889999999989,0.10603825734427914,ACP,214,30,10,3.56,2,1,340,2,NA,59.1578,1.4017369620600342,87.694,44.6355,24.82237046,0.020660844,608.4670665,0.006347448,0.097861069,6003.352164,-1047.1482458225912,1.7570313072005717,-0.0099953216329194,-42.03322055648968,0.34402916846416953,-1.328526947857115,-35.579658081093235,-0.03719507818789908,-0.7609214558006668,-1.1833994534333514,0.09217137654851917,1.439278639336516,0.15699718272948218
J12ACSA22,South East Hill,0.6824941320000001,0.1037071350377465,ACSA,214,49,35,4.76,2.88,3.37,520,4.5,0.611713315,46.61966667,2.0720301962294667,43.15736842,45.46400025,9.772248731,0.026085845,420.0068599,0.012457811,0.075532923,6126.99554,1009.1233641774086,-12.409635362799431,0.14778968336708065,-25.315222486489684,0.4837291684641694,2.046527940142885,-47.21981435109324,-0.045665230187899086,-0.8494515058006696,-1.309450749864789,0.2813372782191808,2.3175651953367744,1.7672349964690255
J12BEA9,South East Hill,0.43677348400000005,0.07153644691951665,BEA,214,51,25,3.17,3,2,490,3.6,0.645381984,56.94745,-1.7087195231576853,42.75666667,46.1042,21.69067983,0.027157844,706.0798152,0.006083869,0.086335217,6673.746305,296.35986117740885,-19.209635362799432,-0.04931362763291937,-39.13093511648968,0.5889291684641693,-0.035838558857114844,-37.559490141093235,0.14260445681210093,-2.0329646858006685,-0.2882239876924012,-0.5867418427007451,1.8875805519275677,0.6080299908883616
J12COA7,South East Hill,0.8412382440000001,0.2018394760974137,COA,214,23,10,4,1.77,1.02,465,3.1,0.526857143,38.2114,0.8356811563202258,17.09964286,42.7689,14.46896045,0.027129899,921.1620478,0.006810374,0.156394836,7710.168742,910.9481441774085,-10.052492502799431,0.022299527367080615,-34.89578499648968,0.08812916846416952,3.007218525142885,-11.77335394109323,-0.08919339918789909,-2.40109250580067,-1.025055065591402,0.12011645941916413,2.1360382867202676,1.3244960882194545
J12FRA23,South East Hill,0.543981652,0.09618730272099658,FRA,214,32,30,2.46,2.38,2.59,782,6.3,0.550675676,63.9067,-0.0694741931280851,145.63,44.7849,15.72869648,0.033457787,152.9282956,0.224798079,0.174634422,12241.33144,9934.613033177407,41.09036463720057,0.1927909383670806,-34.12169449648968,0.17942916846416945,1.1319172351428854,137.71326146890678,-0.805455488187899,-1.729885315800669,-0.641753320253573,-0.3464836382360272,2.1037399732307787,1.4855244489947304
J12OSV23,South East Hill,0.21705078999999997,0.4414074010886739,OSV,214,17,12,4.58,3.25,1.07,306,1.2,0.654953636,66.89305,1.0380642313555166,13.73934426,46.0314,13.57853598,0.025291141,1075.156402,0.005498073,0.130204208,3958.112769,1081.5860661774088,-20.476302029799427,0.09907944636708065,-38.65085355648968,-0.18357083153583054,1.585627314142885,-18.02521996109323,0.13473399781210088,-2.520698755800667,-0.3700668978434162,-0.27996768876175937,2.4155809234007064,1.006965621864
J13ACSA24,Chemin des Lots I,0.648940012,0.14767183583582616,ACSA,201,28,35,4.76,2.88,3.37,500,3.6,NA,40.553,-0.37040327040108406,61.291,48.86651541,11.56210048,0.03625565,465.6328105,0.013038624,0.076618603,4796.778911,1886.2503700633945,-9.76287629391998,0.10724650965317566,-21.38060465801444,0.6563489244260873,1.2969958174751448,-63.206087318474516,0.0749232124102191,-1.4223030153653706,-1.152890136930195,0.9427424190307977,-1.3240966803806813,-1.3386622005321185
J13ACSP7,Chemin des Lots I,1.0540824819999999,0.38228398368939337,ACSP,201,15,5,3.31,2,2,538,3.6,0.634677944,49.6345,-0.43120632664843134,32.53529412,48.31938964,20.36875688,0.015390751,783.8481612,0.00835941,0.108019929,6514.697841,424.2685820633945,-13.38192391391998,-0.0015485773468244084,-27.204520478014437,0.24074892442608736,1.0080129494751449,-34.252910998474526,-0.08765842758978087,-0.36935692536536824,-1.667482793446599,1.2387352775382265,-1.2276900131429473,-0.45450156700104255
J13ACSP8,Chemin des Lots I,0.35472629799999994,0.2518564330701522,ACSP,201,12,5,3.31,2,2,522,4,0.622037422,48.064,-0.160931405021064,34.16666667,48.7557,18.72190079,0.022985235,628.6783712,0.004501377,0.075093551,5925.892762,1531.7052390633949,-4.04859058391998,-0.05632835834682433,-33.28318574801444,0.031048924426087122,-0.11139630652485549,-53.057067158474524,0.0595622564102191,-1.5778640053653685,-1.7584827757692314,1.8595918582846827,-0.2170256904575777,0.6512527287662478
J13FAG20,Chemin des Lots I,0.25256802600000017,0.046830065104464476,FAG,201,43,25,4.75,1.5,1.5,777,4.7,NA,71.54691667,0.09164300343832818,37.70390244,46.1461,9.4456574,0.011603275,1218.153371,0.009217378,0.187226247,5654.656433,9772.231467063395,-14.33430487391998,0.12273406865317564,-32.23415407801444,0.26884892442608715,1.811172630475145,-25.938496778474526,0.1639477264102191,-1.1011851553653695,-1.341053403540194,1.8323976197500154,0.05495882077649912,0.086782609757416
J13FRA24,Chemin des Lots I,0.271635492,0.23727648225682768,FRA,201,20,30,2.46,2.38,2.59,499,3.3,NA,72.955,-0.4395490335118426,106.242,48.8111,11.92744699,0.030124979,90.72661054,0.472520937,0.277465724,27605.34615,11732.953507063396,4.95140941608002,0.07707516765317561,-32.55277091801444,0.48564892442608726,0.4864633334751447,427.7479535915254,-0.7907497645897809,-2.868004165365369,-1.5467255870447443,1.4036193476028973,-1.0610795676929197,-1.1673373913015346
J13OSV26,Chemin des Lots I,0.33696973999999996,0.08198482542982362,OSV,201,27,12,4.58,3.25,1.07,642,5.7,NA,65.0699625,-0.4073908617540204,17.17127273,45.073,9.306032938,0.038557095,950.3364398,0.009026074,0.082198403,8119.236076,3133.9062260633946,-16.97716201291998,0.17934908865317561,-29.036256028014442,-0.191451075573913,0.23548505447514487,-41.415796468474525,0.19000583941021915,-1.895445415365371,-2.786698233996964,2.238616122401599,-0.5892349680208875,0.5238522347424167
J13PRS12,Chemin des Lots I,0.09761905599999991,0.07119096384350099,PRS,201,26,22,2.46,3.02,1.06,481,2.8,NA,57.14171429,-0.2793615811456993,11.2671831,46.246,12.5725813,0.030264719,564.2210024,0.008836523,0.108489795,4680.952465,1279.0131440633945,-14.76859058391998,0.10804897165317566,-26.081405008014443,0.437348924426087,0.8644242634751447,-60.83888194847452,0.17500817441021915,-0.6108742653653696,-1.528127980019644,1.2688260514811431,-1.2204375321351608,-1.202889986496256
J13PRV11,Chemin des Lots I,0.20240594400000003,0.35211821374353336,PRV,201,15,9,2.59,2.88,1.11,237,1.8,NA,49.7331,-0.5394399455586608,9.06952381,44.0291,9.695411652,0.035311281,776.8771439,0.005708689,0.14080954,4649.980335,-1604.8031699366056,-17.74859058391998,0.07765401665317566,-21.289514448014444,0.056848924426086946,0.24896026247514488,-48.064565088474524,0.13666267641021917,-0.9057009953653701,-2.362563868436908,1.719543442833853,-1.0353758418633359,-0.09107859998275396
