"","BAI_GR","BIO_GR","Height.DBH.Ratio","Estem","Branching.Distance","Twig.Diameter","Twig.Wood.Density","Stem.Wood.Density","Leaf.Mass.Fraction","Leaf.Area","LMA","LCC","LNC","LPC","d15N","t.b2","Ks","Ktwig","Huber.Value","X.Lum","VD","X.Sapwood","d13C","Biomass5","pcent.max.Bio5","Tree.Height","Branch.Height","Root.Wood.Density","Twig.branching.angle","Hmax","Shade.Tolerance","Drought.Tolerance","WaterLogging.Tolerance","Porosity_Diffuse","Porosity_Ring","Soil.Fertility","Light","Temperature","Soil.Humidity.Depth.","Slope_Phosphorus"
"J20PRS17",0.121533728,0.0890716809839768,112.2727273,1308.35113,9.15384615,5.3,0.5300305,0.75571754,0.97670665,16.96275,48.66545814,47.6159,2.8835,24.40064529,-2.14050032,0.02158523,34.65358544,667.2351668,0.00602063,0.11527467,5229.843498,0.98062026,-28.27298058,0.60766865,0.03055997,247,1.7,0.47794677,59.45814,22,2.46,3.02,1.06,1,0,-0.446070184357576,0.756571238881241,-0.869638366033031,0.423777124579736,-0.559213440069444
"J21ACP17",0.907898936,0.153602828420539,120.8,908.3969121,19,3.885,0.46949376,0.57214421,0.96899225,77.5775,26.16738101,42.6539,2.4233,17.66090985,-3.30467089,0.01640242,22.91182702,341.0004112,0.01006724,0.07267316,5204.620027,0.75799317,-31.19734749,4.53949469,0.4138753,302,1.8,0.5756807,36.327,10,3.56,2,1,1,0,0.175706568984582,-0.940766302765323,1.95927265278906,1.19982551930211,0.722628926417585
"J21ACSP13",0.688450574,0.268211714436035,87.11111111,1241.255234,18.8,4.51,0.44467515,0.52194783,1.83450586,51.21214286,43.36304169,48.9201,2.9013,15.54707917,-3.83439199,0.03085695,19.23187382,326.0244037,0.01059183,0.0634468,5180.853558,0.86337331,-29.24849831,86.05632181,1,392,3,NA,47.147625,5,3.31,2,2,1,0,0.0656640678305432,-0.946484542305196,2.36626291344384,2.41352999722781,0.770207492393817
"J21ULA19",1.183278674,0.248992221393079,75.10204082,1046.837642,8.23076923,5.075,0.43733012,0.66823744,0.56456872,12.26818182,27.5657651,42.6118,3.4077,21.85941196,-0.27734381,0.02617903,405.4140715,492.0777931,0.06893855,0.27586002,14542.43024,0.06181659,-32.40258896,5.91639337,0.24970656,368,3.1,0.50984849,83.754075,35,3.14,2.92,2.46,0,1,-0.44023191798969,-0.599977375426668,3.00660544978829,2.4993240139849,-1.56850876801637
"J23POG15",2.010671802,9.30138190855789,144.6153846,4054.358545,14.91666667,6.69,0.4074554,0.40855,1.06069739,25.68925926,76.45506841,51.5029,3.8438,18.34282788,0.56096273,0.0129038,259.0132485,4529.91083,0.00718448,0.21396518,13272.75455,0.89071299,-27.67838402,10.05335901,0.24708087,564,4,NA,68.60466667,20,1.21,2.5,2,1,0,-0.0493951433650837,0.378861783513019,-1.10997892120148,-0.720051675138693,0.418152179497209
"J23POG16",0.69372374,-Inf,170,1949.246519,19.4,6.01,0.37738222,0.37902813,1.33395541,22.40130435,67.32915397,51.2812,3.9409,16.2607635,1.48137604,0.01370492,68.07069822,1160.052204,0.00840789,0.11250588,6009.758666,0.86793547,-28.52548264,3.4686187,0.07895613,323,2,NA,64.5125,20,1.21,2.5,2,1,0,-0.0613672136064598,0.54513217341966,-0.955977780810962,-0.548686176620299,0.633678852439966
"J23PRP12",2.717946214,14.4363191832195,152.7586207,3080.98396,5.13333333,3.37,0.54570957,0.58944351,1.9535501,8.52530303,47.80777365,49.7611,2.9548,17.30347394,-1.82993675,0.01962619,38.9404599,741.866333,0.00421111,0.10810383,5253.502153,0.97027468,-26.86771667,13.58973107,1,443,2.5,0.39002453,55.591,12,NA,NA,NA,1,0,-0.11044580284145,1.08505279113806,-0.240344364574475,-0.261281827482427,0.082524706464903
"J2BEPO3",0.211011524,5.72456651942339,168.1878706,1560.249832,70,3.845,0.431605,0.48728943,1.21212121,33.74666667,73.38996444,51.9195,2.6283,21.34417505,0.16984163,0.01592943,134.4422234,2568.734465,0.0015679,0.1771564,12470.61238,0.97309141,-27.96968521,1.05505762,0.78816998,386.8321025,2.1,0.41134752,49.259,15,1.5,2.34,1,1,0,1.05096691714491,-0.672409715385819,-0.882209767663148,-0.231261699663187,0.73961112764829
"J2FRA3",0.919351866,0.341709704884025,177.3628672,9565.50094,52,5.42,0.53341501,0.76268156,1.56272769,162.7346154,75.81007303,41.7288,2.0035,16.48457729,-5.52993523,0.02419698,389.1951861,2187.298248,0.05086044,0.14201394,26337.81465,0.28622704,-28.62358864,4.59675933,0.32018575,567.5611749,4,0.57026793,NA,30,2.46,2.38,2.59,0,1,0.817014332792683,-0.0277360785448793,-1.16292325861258,0.065225812859261,-0.765553529263603
"J2OSV3",0.396402902,0.0784995279376971,111.6074751,1887.820883,11.1,5.2,0.57895731,0.82645418,1.28360656,25.59923077,42.84984525,48.0268,2.3406,10.23575322,-1.65548687,0.02572805,49.69193402,961.7688447,0.00431573,0.09546015,7785.826318,0.98572306,-30.61052475,1.98201451,0.28837692,306.9205565,2.3,0.68813033,NA,12,4.58,3.25,1.07,1,0,0.314260566707226,0.397033903218597,-0.891200319270175,-0.613912764063801,-0.773275487994
