SampleID,BA.0.2006,BA.0.2007,BA.0.2008,BA.0.2009,BA.0.2010,BA.0.2011
J17ACR11,21.39404287,22.54362716,24.13854445,25.97870077,27.83858604,28.72142111
J17ACSA30,50.22676158,51.51465388,52.24833824,52.78816859,53.69690608,54.51134501
J17AMSP17,6.73094571,7.21018016,7.72884002,8.99229257,9.66656043,10.01231508
J17BEA14,12.63969983,13.48073371,13.86104123,14.34624651,14.70312959,15.04880031
J17BEPO13,0.00573997,0.01092532,0.03021958,0.07587237,0.14053621,0.18499932
J17BEPO14,0.80489502,0.83005309,0.88718192,0.94720022,0.99629486,1.06242963
J17CAC17,6.8152474,8.89352247,11.81777876,14.95871129,19.14497166,22.18004115
J17CAC18,NA,NA,NA,NA,NA,NA
J17CAC19,5.19250877,5.6868046,6.26676518,6.53587244,6.75308608,7.00740429
J17FAG23,12.46115416,13.40451337,14.5903839,16.81946641,17.87456127,18.80951279
J17OSV29,5.5603443,5.84056926,6.09787493,7.30383575,7.67552857,8.0384697
J17POB7,0.17664242,0.76395765,1.83303843,2.2121845,6.09525142,11.69808414
J17POD7,0.44970446,1.30691393,3.92283233,6.61419863,11.34031912,14.83990941
J17POT14,0.80390693,1.04588949,1.41948472,2.13847337,3.28998245,4.81204716
J17POT15,1.01248662,1.40763634,1.99567317,2.12361807,2.32388498,2.53922702
J17PRS13,15.14927833,15.37347986,15.49888262,15.60874588,15.69708334,15.7928059
J17QUR25,1.09959061,1.49333054,1.91813945,2.21428639,2.32983947,2.48755901
J17RHT10,3.7919689,4.31934825,5.33726629,6.09774691,7.61250194,8.89007987
J17RHT11,0.14130786,1.03741103,3.79794911,10.68641074,19.83411044,26.73431711
J17RHT12,0.11507143,1.53633541,4.74271458,12.00549678,21.4899485,30.91833458
J17TIA23,3.29910445,3.61681784,4.25129625,4.85962208,4.90608407,5.11561377
J17ULA12,2.70497686,3.10642527,3.68170331,4.13096775,4.50372734,4.90101217
J17ULA14,6.35056952,6.46451313,6.55441824,6.69149379,6.83884175,6.9793534
J17ULA15,9.41752677,9.68284448,9.92789637,10.19713262,10.41021331,10.54923742
J18BEPO15,0.01070588,0.06126609,0.15040803,0.3450231,0.63326098,0.96527701
J18POD8,8.82414432,12.02893443,18.11144305,24.40912033,30.49922217,36.81062565
J18POD9,0.00446145,0.07730635,0.51863964,1.36465012,3.60852305,6.97951127
J18POG10,0,0.01225143,0.28691361,0.85182459,2.57286425,5.72322587
J18POG8,0,0.02831557,0.35768309,2.90695201,9.91385502,28.0660781
J18POG9,0,0.03742933,0.42050277,2.41300214,5.521117,16.50816972
J18POT17,1.25432575,2.47805694,5.47997848,9.15118751,14.84615291,21.33614951
J19ACR14,4.67806945,4.9373743,5.3033231,5.80646655,6.22847995,6.75656474
J19ACR15,7.45039096,9.40144288,11.63751835,14.48135677,16.52798223,18.33101237
J19BEPO17,0.36806414,0.40372295,0.41995325,0.4585642,0.47215506,0.48072129
J19FRA30,5.94416603,6.64790399,7.19727096,7.77662895,8.35825163,8.7238048
J19POB10,2.63096053,2.81961239,3.02602239,3.38333342,3.55883913,3.69786757
J19POB11,0,0.42697841,1.33454138,2.19119059,2.79635406,4.37288189
J19POB8,19.3315043,21.4356699,23.71991224,25.42501449,26.05470039,26.66684009
J19POB9,12.57843604,13.47315389,14.16966497,15.37026665,15.92044489,16.4018429
J19POT19,2.02993401,4.3723481,8.87796805,12.47444801,12.97381064,14.57331661
J19POT20,0.11004219,0.56288729,2.26014654,5.98198195,7.46520969,12.82860355
J19RHT16,1.53684121,1.84077361,2.98597092,5.39995952,7.64773431,10.78087372
J19ULA17,6.6255007,8.00589295,10.82054909,15.85703459,21.75428623,24.75978823
J19ULA18,5.17554181,6.14313487,7.79990638,9.43997659,10.79149466,12.28425481
J1ACR17,10.9738284,14.96124158,18.60395391,23.26167555,29.21034447,33.34835905
J1ACSA1,4.47558257,5.9510232,7.81453503,10.08383878,11.75834213,13.28238439
J1ACSA2,5.71731299,6.51379711,7.85235537,9.02575983,10.85991873,11.66159711
J1AMSP18,3.78355335,4.86090758,5.75608241,7.04614661,7.70199354,8.46923408
J1AMSP19,3.95438747,4.37454289,4.92195795,5.32062213,5.78068835,6.20260071
J1AMSP20,2.64152081,3.03866348,3.3171908,3.63807778,3.88369751,4.20076157
J1AMSP21,13.9755801,18.49159127,23.07875892,27.9761127,30.45555698,33.99278492
J1AMSP21b,3.00677337,3.81700444,5.06750794,6.82725202,8.50464769,9.70954174
J1BEPA1,6.0630453,7.12483298,7.68320781,8.13878641,8.31179955,8.36373262
J1BEPA2,9.81149229,11.07354339,13.5646848,16.41724807,18.80656314,20.05004741
J1BEPO1,0.09233391,0.2082418,0.40417603,0.65435694,0.91736857,1.05208188
